transaction_id	account_id	client_id	transaction_date	operation_type	amount	currency	balance_after	merchant_category	channel	counterparty	source_system	load_batch_id
300000	600579	200579	2024-12-08	SALARY	4794.00	INR	69339	SALARY	MOBILE	Utility Provider	ABS_CORE	ABS_2026_04_25
300001	600107	200107	2022-09-09	CARD_PAYMENT	-3500.00	INR	12825	LOAN	ATM	Retail Merchant	ABS_CORE	ABS_2026_04_25
300002	600654	200654	2022-04-28	TRANSFER_OUT	-2401.00	INR	67753	LOAN	POS	Utility Provider	ABS_CORE	ABS_2026_04_25
300003	600244	200244	2023-05-22	LOAN_PAYMENT	-2952.00	INR	67061	SALARY	ATM	Internal Transfer	ABS_CORE	ABS_2026_04_25
300004	600188	200188	2023-04-05	CARD_PAYMENT	-1025.00	INR	8566	ATM	BRANCH	Retail Merchant	ABS_CORE	ABS_2026_04_25
300005	600366	200366	2023-03-02	CASH_WITHDRAWAL	-3685.00	INR	99584	UTILITIES	MOBILE	Internal Transfer	ABS_CORE	ABS_2026_04_25
300006	600086	200086	2022-10-23	LOAN_PAYMENT	-2343.00	INR	88497	GROCERY	BRANCH	Utility Provider	ABS_CORE	ABS_2026_04_25
300007	600202	200202	2022-08-27	TRANSFER_OUT	-1985.00	INR	20803	RESTAURANT	API	Utility Provider	ABS_CORE	ABS_2026_04_25
300008	600347	200347	2025-02-04	TRANSFER_OUT	-5224.00	INR	60911	UTILITIES	ATM	Retail Merchant	ABS_CORE	ABS_2026_04_25
300009	600180	200180	2024-07-15	CASH_WITHDRAWAL	-3714.00	INR	35489	GROCERY	API	Utility Provider	ABS_CORE	ABS_2026_04_25
300010	600388	200388	2022-08-03	CASH_WITHDRAWAL	-3689.00	INR	40289	ATM	ATM	Employer Ltd	ABS_CORE	ABS_2026_04_25
300011	600467	200467	2024-09-23	LOAN_PAYMENT	-3885.00	INR	19167	UTILITIES	POS	Investment Provider	ABS_CORE	ABS_2026_04_25
300012	600902	200902	2024-01-05	CASH_WITHDRAWAL	-997.00	INR	96671	TRANSPORT	ATM	Utility Provider	ABS_CORE	ABS_2026_04_25
300013	600813	200813	2022-05-09	INTEREST	3675.00	INR	91612	SALARY	API	Employer Ltd	ABS_CORE	ABS_2026_04_25
300014	600325	200325	2022-05-06	TRANSFER_OUT	-1516.00	INR	79733	GROCERY	POS	Investment Provider	ABS_CORE	ABS_2026_04_25
300015	600582	200582	2022-08-13	INTEREST	4788.00	INR	17467	RESTAURANT	ATM	Employer Ltd	ABS_CORE	ABS_2026_04_25
300016	600253	200253	2023-02-23	SALARY	1971.00	INR	55313	UTILITIES	POS	Investment Provider	ABS_CORE	ABS_2026_04_25
300017	600872	200872	2023-03-17	TRANSFER_OUT	-2483.00	INR	12532	TRANSPORT	WEB	Loan Servicer	ABS_CORE	ABS_2026_04_25
300018	600629	200629	2024-05-14	INTEREST	3742.00	INR	49658	SALARY	API	Investment Provider	ABS_CORE	ABS_2026_04_25
300019	600383	200383	2024-10-11	FEE	-4927.00	INR	9225	UTILITIES	MOBILE	Loan Servicer	ABS_CORE	ABS_2026_04_25
300020	600382	200382	2022-05-01	FEE	-6627.42	INR	45900	LOAN	WEB	Employer Ltd	ABS_CORE	ABS_2026_04_25
300021	600595	200595	2024-08-08	CARD_PAYMENT	-361.00	INR	70335	ONLINE_SHOP	ATM	Utility Provider	ABS_CORE	ABS_2026_04_25
300022	600462	200462	2023-01-23	DEPOSIT_TOPUP	1570.00	INR	20828	ONLINE_SHOP	MOBILE	Internal Transfer	ABS_CORE	ABS_2026_04_25
300023	600910	200910	2024-12-24	TRANSFER_IN	1310.00	INR	54204	ATM	MOBILE	Investment Provider	ABS_CORE	ABS_2026_04_25
300024	600086	200086	2025-03-14	CASH_WITHDRAWAL	-4938.00	INR	65447	RESTAURANT	WEB	Investment Provider	ABS_CORE	ABS_2026_04_25
300025	600360	200360	2024-07-14	CARD_PAYMENT	-3773.00	INR	48288	LOAN	POS	Investment Provider	ABS_CORE	ABS_2026_04_25
300026	600344	200344	2024-01-01	FEE	-1041.00	INR	21439	SALARY	WEB	Employer Ltd	ABS_CORE	ABS_2026_04_25
300027	600823	200823	2023-02-26	SALARY	2393.00	INR	49736	SALARY	BRANCH	Utility Provider	ABS_CORE	ABS_2026_04_25
300028	600452	200452	2024-02-16	CASH_WITHDRAWAL	-4852.00	INR	71788	ATM	BRANCH	Employer Ltd	ABS_CORE	ABS_2026_04_25
300029	600862	200862	2024-09-21	INTEREST	4578.00	INR	4032	TRANSPORT	MOBILE	Utility Provider	ABS_CORE	ABS_2026_04_25
300030	600100	200100	2023-05-27	LOAN_PAYMENT	-4105.00	INR	38930	GROCERY	POS	Utility Provider	ABS_CORE	ABS_2026_04_25
300031	600341	200341	2022-03-31	LOAN_PAYMENT	-1857.00	INR	70735	RESTAURANT	MOBILE	Loan Servicer	ABS_CORE	ABS_2026_04_25
300032	600835	200835	2022-11-24	SALARY	2724.00	INR	14328	ONLINE_SHOP	API	Investment Provider	ABS_CORE	ABS_2026_04_25
300033	600141	200141	2025-03-09	INTEREST	3532.00	INR	81984	RESTAURANT	BRANCH	Employer Ltd	ABS_CORE	ABS_2026_04_25
300034	600288	200288	2024-01-06	DEPOSIT_TOPUP	1413.43	INR	98769	SALARY	POS	Loan Servicer	ABS_CORE	ABS_2026_04_25
300035	600012	200012	2023-08-31	INTEREST	3388.00	INR	53909	UTILITIES	WEB	Utility Provider	ABS_CORE	ABS_2026_04_25
300036	600232	200232	2023-05-26	TRANSFER_OUT	-4819.00	INR	56456	LOAN	ATM	Investment Provider	ABS_CORE	ABS_2026_04_25
300037	600601	200601	2022-11-17	FEE	-1105.00	INR	91948	LOAN	MOBILE	Retail Merchant	ABS_CORE	ABS_2026_04_25
300038	600320	200320	2023-02-18	DEPOSIT_TOPUP	2909.00	INR	76305	SALARY	ATM	Internal Transfer	ABS_CORE	ABS_2026_04_25
300039	600460	200460	2023-08-25	CARD_PAYMENT	-1210.00	INR	24438	ATM	ATM	Investment Provider	ABS_CORE	ABS_2026_04_25
300040	600894	200894	2022-08-26	CARD_PAYMENT	-389.00	INR	23464	LOAN	API	Employer Ltd	ABS_CORE	ABS_2026_04_25
300041	600347	200347	2022-08-12	DEPOSIT_TOPUP	1011.00	INR	86047	SALARY	API	Investment Provider	ABS_CORE	ABS_2026_04_25
300042	600306	200306	2023-11-01	CARD_PAYMENT	-1480.00	INR	28306	OTHER	BRANCH	Utility Provider	ABS_CORE	ABS_2026_04_25
300043	600157	200157	2022-08-18	LOAN_PAYMENT	-1747.00	INR	29241	OTHER	API	Investment Provider	ABS_CORE	ABS_2026_04_25
300044	600935	200935	2023-09-29	DEPOSIT_TOPUP	4136.00	INR	6313	SALARY	ATM	Internal Transfer	ABS_CORE	ABS_2026_04_25
300045	600065	200065	2023-09-06	TRANSFER_OUT	-3924.00	INR	41400	LOAN	BRANCH	Employer Ltd	ABS_CORE	ABS_2026_04_25
300046	600583	200583	2024-10-13	SALARY	4109.00	INR	74796	TRANSPORT	ATM	Retail Merchant	ABS_CORE	ABS_2026_04_25
300047	600691	200691	2023-05-05	CARD_PAYMENT	-1391.00	INR	60021	OTHER	WEB	Retail Merchant	ABS_CORE	ABS_2026_04_25
300048	600191	200191	2022-05-27	DEPOSIT_TOPUP	3112.00	INR	11536	RESTAURANT	ATM	Utility Provider	ABS_CORE	ABS_2026_04_25
300049	600298	200298	2024-03-03	CASH_WITHDRAWAL	-1722.00	INR	20642	LOAN	BRANCH	Employer Ltd	ABS_CORE	ABS_2026_04_25
300050	600530	200530	2024-07-01	LOAN_PAYMENT	-4779.00	INR	27673	SALARY	WEB	Utility Provider	ABS_CORE	ABS_2026_04_25
300051	600786	200786	2022-09-30	TRANSFER_IN	4174.00	INR	8325	INVESTMENT	WEB	Internal Transfer	ABS_CORE	ABS_2026_04_25
300052	600760	200760	2023-10-30	TRANSFER_OUT	-1862.00	INR	2149	UTILITIES	ATM	Employer Ltd	ABS_CORE	ABS_2026_04_25
300053	600442	200442	2022-07-21	FEE	-4325.55	INR	29377	UTILITIES	POS	Investment Provider	ABS_CORE	ABS_2026_04_25
300054	600961	200961	2024-07-25	TRANSFER_OUT	-2227.00	INR	57301	INVESTMENT	API	Loan Servicer	ABS_CORE	ABS_2026_04_25
300055	600469	200469	2023-06-19	CARD_PAYMENT	-4279.00	INR	25888	UTILITIES	WEB	Retail Merchant	ABS_CORE	ABS_2026_04_25
300056	600844	200844	2024-11-21	TRANSFER_OUT	-1537.00	INR	40811	INVESTMENT	MOBILE	Investment Provider	ABS_CORE	ABS_2026_04_25
300057	600900	200900	2024-11-05	FEE	-3989.00	INR	79085	OTHER	BRANCH	Loan Servicer	ABS_CORE	ABS_2026_04_25
300058	600093	200093	2023-10-03	FEE	-2650.00	INR	18004	ATM	API	Loan Servicer	ABS_CORE	ABS_2026_04_25
300059	600811	200811	2024-09-02	TRANSFER_IN	2615.55	INR	46996	SALARY	ATM	Utility Provider	ABS_CORE	ABS_2026_04_25
300060	600921	200921	2023-01-13	DEPOSIT_TOPUP	456.00	INR	17977	LOAN	WEB	Loan Servicer	ABS_CORE	ABS_2026_04_25
300061	600187	200187	2025-03-19	CASH_WITHDRAWAL	-260.00	INR	28472	SALARY	API	Retail Merchant	ABS_CORE	ABS_2026_04_25
300062	600245	200245	2022-07-07	TRANSFER_IN	3166.00	INR	54691	RESTAURANT	API	Investment Provider	ABS_CORE	ABS_2026_04_25
300063	600298	200298	2022-05-31	CASH_WITHDRAWAL	-2022.00	INR	81352	ONLINE_SHOP	WEB	Internal Transfer	ABS_CORE	ABS_2026_04_25
300064	600780	200780	2025-01-11	LOAN_PAYMENT	-1620.00	INR	34379	TRANSPORT	BRANCH	Investment Provider	ABS_CORE	ABS_2026_04_25
300065	600784	200784	2023-03-10	DEPOSIT_TOPUP	3415.00	INR	31314	LOAN	ATM	Employer Ltd	ABS_CORE	ABS_2026_04_25
300066	600212	200212	2023-06-13	FEE	-663.00	INR	14144	GROCERY	BRANCH	Loan Servicer	ABS_CORE	ABS_2026_04_25
300067	600711	200711	2022-07-22	FEE	-3360.00	INR	58970	SALARY	MOBILE	Loan Servicer	ABS_CORE	ABS_2026_04_25
300068	600013	200013	2023-03-17	TRANSFER_OUT	-4091.00	INR	60291	SALARY	BRANCH	Retail Merchant	ABS_CORE	ABS_2026_04_25
300069	600256	200256	2022-08-24	TRANSFER_IN	109.00	INR	15668	ATM	API	Loan Servicer	ABS_CORE	ABS_2026_04_25
300070	600475	200475	2023-11-01	CASH_WITHDRAWAL	-781.00	INR	11159	TRANSPORT	POS	Loan Servicer	ABS_CORE	ABS_2026_04_25
300071	600248	200248	2023-05-26	FEE	-771.19	INR	43386	UTILITIES	WEB	Employer Ltd	ABS_CORE	ABS_2026_04_25
300072	600861	200861	2024-02-23	CARD_PAYMENT	-776.00	INR	93190	OTHER	BRANCH	Utility Provider	ABS_CORE	ABS_2026_04_25
300073	600301	200301	2024-12-02	DEPOSIT_TOPUP	292.00	INR	41654	UTILITIES	BRANCH	Loan Servicer	ABS_CORE	ABS_2026_04_25
300074	600781	200781	2023-10-08	SALARY	3227.00	INR	94115	UTILITIES	WEB	Employer Ltd	ABS_CORE	ABS_2026_04_25
300075	600182	200182	2022-11-28	CARD_PAYMENT	-587.00	INR	74259	INVESTMENT	ATM	Internal Transfer	ABS_CORE	ABS_2026_04_25
300076	600713	200713	2023-10-17	INTEREST	385.00	INR	77182	TRANSPORT	WEB	Loan Servicer	ABS_CORE	ABS_2026_04_25
300077	600315	200315	2023-09-23	CARD_PAYMENT	-1367.00	INR	14799	GROCERY	WEB	Utility Provider	ABS_CORE	ABS_2026_04_25
300078	600951	200951	2023-02-09	TRANSFER_OUT	-934.00	INR	13928	ONLINE_SHOP	BRANCH	Retail Merchant	ABS_CORE	ABS_2026_04_25
300079	600858	200858	2025-01-25	CARD_PAYMENT	-901.86	INR	43133	ATM	ATM	Loan Servicer	ABS_CORE	ABS_2026_04_25
300080	600208	200208	2023-05-09	TRANSFER_OUT	-1222.00	INR	84847	TRANSPORT	API	Utility Provider	ABS_CORE	ABS_2026_04_25
300081	600741	200741	2025-03-15	DEPOSIT_TOPUP	3681.00	INR	43308	INVESTMENT	BRANCH	Employer Ltd	ABS_CORE	ABS_2026_04_25
300082	600330	200330	2025-02-14	TRANSFER_OUT	-3311.00	INR	48383	OTHER	ATM	Investment Provider	ABS_CORE	ABS_2026_04_25
300083	600404	200404	2024-12-21	CASH_WITHDRAWAL	-2256.00	INR	86627	ONLINE_SHOP	ATM	Retail Merchant	ABS_CORE	ABS_2026_04_25
300084	600365	200365	2022-07-09	CARD_PAYMENT	-2390.00	INR	4360	SALARY	API	Employer Ltd	ABS_CORE	ABS_2026_04_25
300085	600012	200012	2024-10-22	FEE	-1164.00	INR	46631	ONLINE_SHOP	BRANCH	Loan Servicer	ABS_CORE	ABS_2026_04_25
300086	600545	200545	2024-12-01	LOAN_PAYMENT	-3891.00	INR	74422	GROCERY	BRANCH	Utility Provider	ABS_CORE	ABS_2026_04_25
300087	600420	200420	2022-12-11	FEE	-2198.00	INR	20259	TRANSPORT	API	Investment Provider	ABS_CORE	ABS_2026_04_25
300088	600810	200810	2024-06-27	TRANSFER_IN	1476.00	INR	2577	RESTAURANT	BRANCH	Investment Provider	ABS_CORE	ABS_2026_04_25
300089	600332	200332	2023-04-05	DEPOSIT_TOPUP	2227.00	INR	38065	UTILITIES	MOBILE	Utility Provider	ABS_CORE	ABS_2026_04_25
300090	600650	200650	2022-11-29	LOAN_PAYMENT	-446.00	INR	40483	LOAN	BRANCH	Employer Ltd	ABS_CORE	ABS_2026_04_25
300091	600246	200246	2024-03-08	FEE	-1858.00	INR	37201	SALARY	POS	Loan Servicer	ABS_CORE	ABS_2026_04_25
300092	600759	200759	2023-10-31	CARD_PAYMENT	-1438.00	INR	33653	ONLINE_SHOP	BRANCH	Investment Provider	ABS_CORE	ABS_2026_04_25
300093	600777	200777	2023-05-14	SALARY	4795.00	INR	98586	ONLINE_SHOP	API	Internal Transfer	ABS_CORE	ABS_2026_04_25
300094	600619	200619	2024-12-09	CASH_WITHDRAWAL	-2796.00	INR	98266	GROCERY	ATM	Employer Ltd	ABS_CORE	ABS_2026_04_25
300095	600510	200510	2025-02-22	TRANSFER_IN	4167.00	INR	56360	SALARY	ATM	Loan Servicer	ABS_CORE	ABS_2026_04_25
300096	600038	200038	2024-08-02	FEE	-553.00	INR	99202	ATM	ATM	Employer Ltd	ABS_CORE	ABS_2026_04_25
300097	600325	200325	2023-02-25	CARD_PAYMENT	-1409.00	INR	83453	INVESTMENT	WEB	Loan Servicer	ABS_CORE	ABS_2026_04_25
300098	600832	200832	2025-02-16	CARD_PAYMENT	-189.00	INR	80321	ONLINE_SHOP	API	Employer Ltd	ABS_CORE	ABS_2026_04_25
300099	600350	200350	2023-08-06	INTEREST	1419.00	INR	8615	GROCERY	API	Utility Provider	ABS_CORE	ABS_2026_04_25
300100	600820	200820	2022-06-15	TRANSFER_OUT	-1245.41	INR	69990	OTHER	WEB	Investment Provider	ABS_CORE	ABS_2026_04_25
300101	600884	200884	2023-03-11	FEE	-2603.00	INR	22527	GROCERY	BRANCH	Internal Transfer	ABS_CORE	ABS_2026_04_25
300102	600071	200071	2022-05-09	CARD_PAYMENT	-3102.00	INR	78341	UTILITIES	ATM	Utility Provider	ABS_CORE	ABS_2026_04_25
300103	600093	200093	2023-07-24	INTEREST	1262.00	INR	62479	ONLINE_SHOP	ATM	Investment Provider	ABS_CORE	ABS_2026_04_25
